"post_title","categories","post_name","post_author","post_excerpt","post_date","post_modified"
"Chuyện Tiểu Cúc","Sách, thơ, phim,Dấu vết thiên di,nét nghĩa ẩn,thay đổi góc nhìn,thơ - tản văn","chuyen-tieu-cuc","Lý Minh Nhật",,"2019-08-08 21:58:56","2021-05-13 17:48:36"
"Tại sao Đạo gia lại đề cao sự học?","Đạo, ngữ dụng, tâm lý học nhận thức,Đạo,hiểu lầm,nét nghĩa ẩn,thay đổi góc nhìn","tai-sao-dao-gia-lai-de-cao-su-hoc","Lý Minh Nhật",,"2019-08-08 22:53:57","2020-05-31 14:19:55"
"Con mắt lạnh như băng","Bài nổi bật,Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Phật,sợ hãi,thay đổi góc nhìn,từ bi","con-mat-lanh-nhu-bang","Lý Minh Nhật",,"2019-08-09 00:08:49","2021-11-26 19:13:30"
"Chuyện gì sẽ xảy ra nếu...?","Bài nổi bật,Sách, thơ, phim,dịch,nét nghĩa ẩn,sách,thay đổi góc nhìn,xkcd,tò mò","chuyen-gi-se-xay-ra-neu","Lý Minh Nhật","Một vài câu hỏi mà tôi thích đến từ trẻ con. Tôi nghĩ đôi khi người lớn quá chú trọng đến những kịch bản tạo càng nhiều sự phá hủy càng tốt. Khi ấy, tôi có trả lời thì cũng chỉ tô thêm vào những gì họ đã miêu tả, nên cũng chẳng có gì đáng ngạc nhiên. Trong khi trẻ con lại gửi những câu hỏi thật sự kỳ lạ nhưng vào thẳng vấn đề (“chuyện gì sẽ xảy ra nếu có một tòa nhà cao một triệu tầng?”). Tôi thích như vậy hơn, vì khi tôi trả lời, chúng thường đưa tôi đến những điều không lường trước được. (fivethirtyeight)

","2019-08-09 01:59:39","2021-04-09 15:22:13"
"Rối loạn nhân cách tâm trạng không ổn định","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Rối loạn nhân cách tâm trạng không ổn định,rối loạn nhân cách,sợ hãi,tâm lý học trị liệu,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi","roi-loan-nhan-cach-tam-trang-khong-on-dinh","Lý Minh Nhật",,"2019-08-09 12:08:18","2020-06-02 14:02:27"
"Tranh luận hiền hòa","Bài nổi bật,Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,tâm lý học trị liệu,thay đổi góc nhìn,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi","tranh-luan-hien-hoa","Lý Minh Nhật",,"2019-08-09 12:20:49","2021-08-24 00:42:18"
"Nơi cuối trời","Sách, thơ, phim,Dấu vết thiên di,sách,thay đổi góc nhìn,thơ - tản văn","noi-cuoi-troi","Lý Minh Nhật",,"2019-08-09 12:27:27","2021-02-23 20:10:57"
"Truyện cười vật lý","Đạo, ngữ dụng, tâm lý học nhận thức,Đạo,thay đổi góc nhìn","truyen-cuoi-vat-ly","Lý Minh Nhật",,"2019-08-09 12:37:20","2021-02-24 23:19:06"
"EUPD: xem thêm","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,Rối loạn nhân cách tâm trạng không ổn định,Phật,rối loạn nhân cách,sợ hãi,tâm lý học trị liệu,từ bi,Nỗi sợ, góc nhìn, mạnh mẽ, và từ bi","eupd-xem-them","Lý Minh Nhật",,"2019-08-10 01:13:49","2023-11-08 21:23:48"
"Bộ sưu tập từ điển chuyên ngành","Bài nổi bật,Tài nguyên khác,Làm việc hiệu quả,dịch,sách","tu-dien-chuyen-nganh","Lý Minh Nhật",,"2019-08-11 16:23:46","2024-01-10 14:21:34"
"Máy trợ thính","Nỗi sợ, góc nhìn, mạnh mẽ, từ bi,từ bi","may-tro-thinh","Lý Minh Nhật",,"2019-08-12 00:59:21","2021-02-24 23:18:30"
"Ru em ngủ","Sách, thơ, phim,Dấu vết thiên di,thơ - tản văn,từ bi,sự bất lực học được","ru-em-ngu","Lý Minh Nhật",,"2019-08-23 21:42:48","2021-02-23 20:11:23"
"Kết luận","Đạo, ngữ dụng, tâm lý học nhận thức,Sách, thơ, phim,Cuộc cách mạng một cọng rơm,Đạo,hiểu lầm,nét nghĩa ẩn,sách,thay đổi góc nhìn,Tự nhiên, hệ thống, khoa học, quyền uy,triết học khoa học","ccmmcr-ket-luan","Lý Minh Nhật",,"2019-08-26 01:00:54","2021-04-16 23:18:54"
"Phần 3: Khoa học có trong những triết lý của ông ấy","Đạo, ngữ dụng, tâm lý học nhận thức,Sách, thơ, phim,Cuộc cách mạng một cọng rơm,Đạo,hiểu lầm,nét nghĩa ẩn,sách,thay đổi góc nhìn,Tự nhiên, hệ thống, khoa học, quyền uy,triết học khoa học","phan-3-khoa-hoc-co-trong-nhung-triet-ly-cua-ong-ay","Lý Minh Nhật",,"2019-08-26 20:32:08","2021-03-31 15:49:58"
"Phần 2: Thứ ông ấy làm lại là khoa học đúng nghĩa","Đạo, ngữ dụng, tâm lý học nhận thức,Sách, thơ, phim,Cuộc cách mạng một cọng rơm,Đạo,hiểu lầm,nét nghĩa ẩn,sách,thay đổi góc nhìn,Tự nhiên, hệ thống, khoa học, quyền uy,triết học khoa học","phan-2-thu-ong-ay-lam-lai-la-khoa-hoc-dung-nghia","Lý Minh Nhật",,"2019-08-26 21:44:31","2021-03-31 15:44:31"
